state,population
Andaman and Nicobar Islands,397000
Andhra Pradesh,52221000
Arunachal Pradesh,1504000
Assam,34293000
Bihar,119520000
Chandigarh,1179000
Chhattisgarh,28724000
Dadra and Nagar Haveli and Daman and Diu,959000
Delhi,19814000
Goa,1540000
Gujarat,67936000
Haryana,28672000
Himachal Pradesh,7300000
Jammu and Kashmir,13203000
Jharkhand,37403000
Karnataka,65798000
Kerala,35125000
Ladakh,293000
Madhya Pradesh,82232000
Maharashtra,122153000
Manipur,3103000
Meghalaya,3224000
Mizoram,1192000
Nagaland,2150000
Odisha,43671000
Puducherry,1504000
Punjab,29859000
Rajasthan,77264000
Sikkim,664000
Tamil Nadu,75695000
Telangana,37220000
Tripura,3992000
Uttar Pradesh,224979000
Uttarakhand,11141000
West Bengal,96906000
India,1332830000
